Length,Method,Time
20000,SATzilla (ID),2.311378063201900
20000,UReg (ID),54.19393930625920
20000,CFact (ID),0.2357706813812260
20000,ISAC (ID),5.744371536254880
20000,ARGOSMART (ID),0.7503397445678710
20000,MetaOD (ID),38.127412086486800
20000,MSAD (OOD),0.581112621307373
20000,SATzilla (OOD),0.5556502323150630
20000,UReg (OOD),5.3778610534668000
20000,CFact (OOD),5.2687604732513400
20000,ISAC (OOD),5.305277854919430
20000,ARGOSMART (OOD),54.66615615081790
20000,MetaOD (OOD),38.12304044342040
20000,Synthetic,97.578549741745
20000,CQ,1510.8187527122500
20000,UEC,1602.5564168357800
20000,MC,1514.7185043735500
20000,TSADAMS,2110.716932718280
20000,OE,1510.7105964889500
20000,HITS,1510.701712059020
20000,AutoOD-A,1923.6887869110100
20000,AutoOD-C,1532.447089838030
20000,UADB,1522.898419784550
20000,IOE,1510.9483074417100
20000,SELECT,1539.2303811779000
20000,GB,5.132
299690,MSAD (ID),33.63193816947940
299690,SATzilla (ID),814.8872983417510
299690,UReg (ID),814.9639091453550
299690,CFact (ID),13.011062435150100
299690,ISAC (ID),30.9415581741333
299690,ARGOSMART (ID),34.16615695762630
299690,MetaOD (ID),554.0929222373960
299690,MSAD (OOD),13.917237810134900
299690,SATzilla (OOD),12.975790075302100
299690,UReg (OOD),13.95665245437620
299690,CFact (OOD),12.89798694038390
299690,ISAC (OOD),103.39032553863500
299690,ARGOSMART (OOD),3.1340328483581500
299690,MetaOD (OOD),815.209593530655
299690,Synthetic,1812.1806111469300
299690,CQ,13308.50049433710
299690,UEC,14157.56975575450
299690,MC,13997.91935188480
299690,TSADAMS,14059.08865538600
299690,OE,13281.22236260410
299690,HITS,13281.405116643900
299690,AutoOD-A,30047.052258577300
299690,AutoOD-C,22149.491276826900
299690,UADB,13395.33687886240
299690,IOE,13291.15601166730
299690,SELECT,13467.544301357300
299690,GB,11.754
46660,MSAD (ID),55.440012691497800
46660,SATzilla (ID),55.22984814453130
46660,UReg (ID),0.47180593299865700
46660,CFact (ID),0.319607723236084
46660,ISAC (ID),1.1023134021759000
46660,ARGOSMART (ID),55.643233774185200
46660,MetaOD (ID),86.94897910499570
46660,MSAD (OOD),0.2719100742340090
46660,SATzilla (OOD),0.27186692047119100
46660,UReg (OOD),8.89185766029358
46660,CFact (OOD),8.70298007774353
46660,ISAC (OOD),1.3994785118103000
46660,ARGOSMART (OOD),8.987357891082760
46660,MetaOD (OOD),86.94346162223820
46660,Synthetic,288.1963244552610
46660,CQ,3689.3289530277300
46660,UEC,3937.207092823030
46660,MC,3699.717993890760
46660,TSADAMS,4289.580774461750
46660,OE,3689.242421997070
46660,HITS,3689.250407827380
46660,AutoOD-A,4060.694264543530
46660,AutoOD-C,3781.1575774078400
46660,UADB,3712.462334287640
